nome,squadra,pv,mv,fm
Diego Carlos,PAR,1.0,5.5,5.5
Beto,FIO,1.0,5.5,5.5
Gnonto,FIO,1.0,5.5,5.5
Ehizibue,GEN,1.0,5.5,5.5
Fagioli,FIO,3.0,5.5,5.33
Marcandalli,GEN,3.0,5.33,5.33
Ostigard,GEN,3.0,5.83,5.33
Siebert,LEC,3.0,5.5,5.33
Ngom,LEC,3.0,5.5,5.33
Stulic,LEC,3.0,5.33,5.33
Maignan,MIL,3.0,6.0,5.33
Lucchesi,MON,3.0,5.67,5.33
Zambo Anguissa,NAP,3.0,5.33,5.33
Vlasic,TOR,3.0,5.33,5.33
Mastantuono,FIO,3.0,5.33,5.33
Joao Mario,FIO,2.0,5.25,5.25
Geubbels,LEC,2.0,5.25,5.25
Heggem,BOL,3.0,5.33,5.17
Ndour,FIO,3.0,5.17,5.17
Palmisani,FRO,3.0,6.17,5.17
Martinez Jo.,INT,3.0,6.17,5.17
Kolo Muani,JUV,3.0,5.17,5.17
Marin R.,NAP,3.0,5.33,5.17
Bellanova,ATA,1.0,5.5,5.0
Pongracic,FIO,1.0,5.0,5.0
Ranieri L.,FIO,1.0,5.0,5.0
Valdepenas,FIO,2.0,5.0,5.0
Dodò,FIO,1.0,5.0,5.0
Atta,FIO,3.0,5.0,5.0
Sabelli,GEN,1.0,5.0,5.0
David,JUV,1.0,5.0,5.0
Gaspar K.,LEC,3.0,5.33,5.0
Colombo L.,MON,1.0,5.5,5.0
Olivera,NAP,1.0,5.0,5.0
Pinamonti,LAZ,1.0,5.0,5.0
Ilic,LEC,2.0,5.25,5.0
Casadei,TOR,1.0,5.0,5.0
Bayo V.,UDI,2.0,5.25,5.0
Bella-Kotchap,VEN,2.0,5.0,5.0
Moreno M.,VEN,1.0,5.5,5.0
Schingtienne,VEN,3.0,5.17,5.0
Kevin Carlos,CAG,1.0,5.5,5.0
Moreira,MIL,1.0,5.0,5.0
Mout,MON,1.0,5.0,5.0
Badiashile,NAP,1.0,5.0,5.0
Butez,COM,3.0,5.83,4.83
Corvi,PAR,3.0,6.17,4.83
Jimenez A.,FIO,2.0,5.0,4.75
Dragusin,FIO,3.0,4.5,4.67
Meret,NAP,3.0,6.33,4.67
Skorupski,BOL,3.0,5.83,4.5
El Azzouzi O.,BOL,1.0,5.0,4.5
Otoa,GEN,1.0,4.5,4.5
Falcone,LEC,3.0,6.33,4.5
Okoye,UDI,3.0,6.17,4.5
Dagasso,VEN,1.0,5.0,4.5
Perri,TOR,1.0,5.5,4.5
Muric,SAS,3.0,6.0,4.33
Mascardi,TOR,2.0,5.75,3.75
Stankovic F.,VEN,3.0,6.0,3.67
Halhal,VEN,2.0,4.75,3.5
Thiam,MON,2.0,5.25,3.25
Bijlow,GEN,3.0,5.5,3.17
De Gea,FIO,3.0,5.5,2.5
Pizzignacco,MON,1.0,5.0,1.0
Rossi F.,ATA,0.0,0.0,0.0
Sportiello,ATA,0.0,0.0,0.0
Djimsiti,ATA,0.0,0.0,0.0
Hien,ATA,0.0,0.0,0.0
Ahanor,ATA,0.0,0.0,0.0
De Roon,ROM,0.0,0.0,0.0
Sulemana K.,ATA,0.0,0.0,0.0
Happonen,BOL,0.0,0.0,0.0
Pessina Mas.,BOL,0.0,0.0,0.0
Casale,BOL,0.0,0.0,0.0
Vitik,BOL,0.0,0.0,0.0
De Silvestri,BOL,0.0,0.0,0.0
Dallinga,BOL,0.0,0.0,0.0
Ciocci,CAG,0.0,0.0,0.0
Sherri,CAG,0.0,0.0,0.0
Mina,CAG,0.0,0.0,0.0
Raterink,CAG,0.0,0.0,0.0
Idrissi R.,CAG,0.0,0.0,0.0
Liteta,CAG,0.0,0.0,0.0
Prati,CAG,0.0,0.0,0.0
Albarracin,CAG,0.0,0.0,0.0
Esposito Se.,SAS,0.0,0.0,0.0
Mutandwa,CAG,0.0,0.0,0.0
Trepy,CAG,0.0,0.0,0.0
Tornqvist,MON,0.0,0.0,0.0
Vigorito,COM,0.0,0.0,0.0
Goldaniga,COM,0.0,0.0,0.0
Cuenca A.,COM,0.0,0.0,0.0
Van Der Brempt,SAS,0.0,0.0,0.0
Kaiki,COM,0.0,0.0,0.0
Lahdo,COM,0.0,0.0,0.0
Addai,COM,0.0,0.0,0.0
Kuhn,COM,0.0,0.0,0.0
Azon,COM,0.0,0.0,0.0
Morata,COM,0.0,0.0,0.0
Christensen O.,FIO,0.0,0.0,0.0
Lezzerini,FIO,0.0,0.0,0.0
Parisi,FIO,0.0,0.0,0.0
Desplanches,FRO,0.0,0.0,0.0
Lolic,FRO,0.0,0.0,0.0
Akpoguma,FRO,0.0,0.0,0.0
Amey,FRO,0.0,0.0,0.0
Gelli J.,FRO,0.0,0.0,0.0
Oyono J.,FRO,0.0,0.0,0.0
Corrado,FRO,0.0,0.0,0.0
El Azzouzi A.,FRO,0.0,0.0,0.0
Kone B.,FRO,0.0,0.0,0.0
Koutsoupias,FRO,0.0,0.0,0.0
Gelli F.,FRO,0.0,0.0,0.0
Sommariva,GEN,0.0,0.0,0.0
Stolz,GEN,0.0,0.0,0.0
Vogliacco,GEN,0.0,0.0,0.0
Matturro,GEN,0.0,0.0,0.0
Martin,GEN,0.0,0.0,0.0
Mitaj,GEN,0.0,0.0,0.0
Puczka,GEN,0.0,0.0,0.0
Venturino,GEN,0.0,0.0,0.0
Traorè Hj.,GEN,0.0,0.0,0.0
Havel,GEN,0.0,0.0,0.0
Di Gennaro,INT,0.0,0.0,0.0
Provedel,INT,0.0,0.0,0.0
Stankovic A.,INT,0.0,0.0,0.0
Mkhitaryan,INT,0.0,0.0,0.0
Di Gregorio,JUV,0.0,0.0,0.0
Perin,JUV,0.0,0.0,0.0
Pinsoglio,JUV,0.0,0.0,0.0
Rugani,JUV,0.0,0.0,0.0
Cabal,JUV,0.0,0.0,0.0
Thuram K.,JUV,0.0,0.0,0.0
Miretti,JUV,0.0,0.0,0.0
Ekhator,JUV,0.0,0.0,0.0
Motta,LAZ,0.0,0.0,0.0
Renzetti,LAZ,0.0,0.0,0.0
Romagnoli,LAZ,0.0,0.0,0.0
Patric,LAZ,0.0,0.0,0.0
Lazzari,LAZ,0.0,0.0,0.0
Pellegrini Lu.,LAZ,0.0,0.0,0.0
Cataldi,LAZ,0.0,0.0,0.0
Przyborek,LAZ,0.0,0.0,0.0
Ratkov,LAZ,0.0,0.0,0.0
Fruchtl,LEC,0.0,0.0,0.0
Samooja,LEC,0.0,0.0,0.0
Jean,LEC,0.0,0.0,0.0
Perez M.,LEC,0.0,0.0,0.0
Kaba,LEC,0.0,0.0,0.0
Fofana Sa.,LEC,0.0,0.0,0.0
Berisha M.,LEC,0.0,0.0,0.0
Gandelman,LEC,0.0,0.0,0.0
Terracciano,MIL,0.0,0.0,0.0
Torriani,MIL,0.0,0.0,0.0
Tomori,MIL,0.0,0.0,0.0
Diawara S.,MIL,0.0,0.0,0.0
Athekame,MIL,0.0,0.0,0.0
Fofana Y.,MIL,0.0,0.0,0.0
Ricci S.,COM,0.0,0.0,0.0
Pulisic,MIL,0.0,0.0,0.0
Leao,MIL,0.0,0.0,0.0
Nkunku,MIL,0.0,0.0,0.0
Camarda,MIL,0.0,0.0,0.0
Gimenez,MIL,0.0,0.0,0.0
Strajnar,MON,0.0,0.0,0.0
Antov,MON,0.0,0.0,0.0
Ciurria,MON,0.0,0.0,0.0
Pessina,MON,0.0,0.0,0.0
Petagna,MON,0.0,0.0,0.0
Contini,NAP,0.0,0.0,0.0
Milinkovic-Savic V.,NAP,0.0,0.0,0.0
Beukema,NAP,0.0,0.0,0.0
Buongiorno,NAP,0.0,0.0,0.0
Marianucci,NAP,0.0,0.0,0.0
Gutierrez,NAP,0.0,0.0,0.0
Mazzocchi,VEN,0.0,0.0,0.0
Gilmour,NAP,0.0,0.0,0.0
Giovane,NAP,0.0,0.0,0.0
Lukaku,NAP,0.0,0.0,0.0
Daffara,PAR,0.0,0.0,0.0
Suzuki,PAR,0.0,0.0,0.0
Circati,PAR,0.0,0.0,0.0
Carboni F.,PAR,0.0,0.0,0.0
Nicolussi Caviglia,PAR,0.0,0.0,0.0
Sorensen O.,PAR,0.0,0.0,0.0
Ondrejka,PAR,0.0,0.0,0.0
De Marzi,ROM,0.0,0.0,0.0
Gollini,ROM,0.0,0.0,0.0
Ziolkowski,MON,0.0,0.0,0.0
Rensch,ROM,0.0,0.0,0.0
Angelino,ROM,0.0,0.0,0.0
El Aynaoui,ROM,0.0,0.0,0.0
Vaz,ROM,0.0,0.0,0.0
Russo A.,SAS,0.0,0.0,0.0
Turati,SAS,0.0,0.0,0.0
Walukiewicz,SAS,0.0,0.0,0.0
Candè,SAS,0.0,0.0,0.0
Missori,SAS,0.0,0.0,0.0
Pieragnolo,SAS,0.0,0.0,0.0
Boloca,SAS,0.0,0.0,0.0
Iannoni,SAS,0.0,0.0,0.0
Konè I.,SAS,0.0,0.0,0.0
Moro L.,SAS,0.0,0.0,0.0
Paleari,TOR,0.0,0.0,0.0
Siviero,TOR,0.0,0.0,0.0
Biraghi,TOR,0.0,0.0,0.0
Anjorin,TOR,0.0,0.0,0.0
Oristanio,TOR,0.0,0.0,0.0
Zapata D.,TOR,0.0,0.0,0.0
Padelli,UDI,0.0,0.0,0.0
Piana,UDI,0.0,0.0,0.0
Mlacic,UDI,0.0,0.0,0.0
Kristensen T.,ATA,0.0,0.0,0.0
Zanoli,UDI,0.0,0.0,0.0
Arizala,UDI,0.0,0.0,0.0
Camara A.,UDI,0.0,0.0,0.0
Chakvetadze,UDI,0.0,0.0,0.0
Buksa,UDI,0.0,0.0,0.0
Grandi,VEN,0.0,0.0,0.0
Pozzi,VEN,0.0,0.0,0.0
Sverko,VEN,0.0,0.0,0.0
Gomes,VEN,0.0,0.0,0.0
Bjarkason,VEN,0.0,0.0,0.0
Duncan,VEN,0.0,0.0,0.0
Helgason,VEN,0.0,0.0,0.0
Lisman,VEN,0.0,0.0,0.0
Adorante,VEN,0.0,0.0,0.0
Vismara,ATA,0.0,0.0,0.0
Satalino,SAS,0.0,0.0,0.0
Pellegrini Lo.,ROM,0.0,0.0,0.0
Aurelio,CAG,0.0,0.0,0.0
Grillitsch,FRO,0.0,0.0,0.0
Penev,LEC,0.0,0.0,0.0
Spence,INT,0.0,0.0,0.0
Pisseri,FRO,0.0,0.0,0.0
Radunovic,CAG,0.0,0.0,0.0
Milik,JUV,0.0,0.0,0.0
De Martis,PAR,0.0,0.0,0.0
Favasuli,NAP,0.0,0.0,0.0
Montipò,VEN,0.0,0.0,0.0
Omar Fayed,FRO,0.0,0.0,0.0
Bleve,LEC,0.0,0.0,0.0
Tourè I.,MON,0.0,0.0,0.0
Laerke,LEC,0.0,0.0,0.0
Comotto,MIL,0.0,0.0,0.0
Goglichidze,MON,0.0,0.0,0.0
Macchioni,SAS,0.0,0.0,0.0
Terracciano F.,MIL,0.0,0.0,0.0
Sutalo J.,LAZ,0.0,0.0,0.0
Ciervo,CAG,0.0,0.0,0.0
Grabara,JUV,0.0,0.0,0.0
Maye,MON,0.0,0.0,0.0
Tchato,FRO,0.0,0.0,0.0
Kambwala,COM,0.0,0.0,0.0
Birligea,FRO,0.0,0.0,0.0
Mrozek,UDI,0.0,0.0,0.0
Ngonge,MON,0.0,0.0,0.0
Bobcek,FRO,0.0,0.0,0.0
Kessiè,ATA,0.0,0.0,0.0
Dembelè A.,LEC,0.0,0.0,0.0
Massolin,CAG,0.0,0.0,0.0
Hutchinson,MIL,0.0,0.0,0.0
Juan Jesus,VEN,0.0,0.0,0.0
Caleta-Car,SAS,0.0,0.0,0.0
Jovanovic,UDI,0.0,0.0,0.0
Sarr P.,JUV,0.0,0.0,0.0
Ghidotti,PAR,0.0,0.0,0.0
Zeballos,MON,0.0,0.0,0.0
Sugawara,CAG,0.0,0.0,0.0
Robinho Junior,GEN,0.0,0.0,0.0
Mbangula,BOL,0.0,0.0,0.0
Drameh,GEN,0.0,0.0,0.0
Goncalves P.,FIO,0.0,0.0,0.0
Nzola,CAG,0.0,0.0,0.0
Sanchez Ro.,COM,0.0,0.0,0.0
Pompei,ATA,0.0,0.0,0.0
El Shaarawy,GEN,0.0,0.0,0.0
Enem,BOL,0.0,0.0,0.0
Rodriguez R.,TOR,0.0,0.0,0.0
Sierro,PAR,0.0,0.0,0.0
Leite,LAZ,0.0,0.0,0.0
