id,ruolo,nome,squadra,qta,fvm
p_miller_l,C,Miller L.,UDI,4.0,12.0
p_gueye,?,Gueye,UDI,4.0,7.0
p_moreno_m,D,Moreno M.,VEN,4.0,6.0
p_sagrado,D,Sagrado,VEN,4.0,4.0
p_adorante,?,Adorante,VEN,4.0,5.0
p_grillitsch,C,Grillitsch,FRO,4.0,10.0
p_terzic,D,Terzic,FRO,4.0,8.0
p_milik,?,Milik,JUV,4.0,3.0
p_cinquegrano,D,Cinquegrano,SAS,4.0,4.0
p_fatah,A,Fatah,LEC,4.0,8.0
p_birligea,?,Birligea,FRO,4.0,7.0
p_ngonge,A,Ngonge,MON,4.0,13.0
p_massolin,C,Massolin,CAG,4.0,12.0
p_juan_jesus,D,Juan Jesus,VEN,4.0,10.0
p_fernandez_t,A,Fernandez T.,VEN,4.0,8.0
p_nzola,?,Nzola,CAG,4.0,10.0
p_ehizibue,D,Ehizibue,GEN,4.0,10.0
p_de_roon,C,De Roon,ROM,3.0,10.0
p_sulemana_i,C,Sulemana I.,SAS,3.0,7.0
p_helland,D,Helland,BOL,3.0,12.0
p_dominguez_b,A,Dominguez B.,SAS,3.0,12.0
p_fadera,?,Fadera,CAG,3.0,12.0
p_kuhn*,A,Kuhn*,COM,3.0,5.0
p_pongracic,D,Pongracic,FIO,3.0,8.0
p_joao_mario,D,Joao Mario,FIO,3.0,12.0
p_mitaj,D,Mitaj,GEN,3.0,10.0
p_havel,?,Havel,GEN,3.0,5.0
p_miretti*,C,Miretti*,JUV,3.0,7.0
p_belahyane,C,Belahyane,LAZ,3.0,3.0
p_cataldi,C,Cataldi,LAZ,3.0,12.0
p_gorter,C,Gorter,LEC,3.0,12.0
p_maleh,C,Maleh,LEC,3.0,7.0
p_athekame*,D,Athekame*,MIL,3.0,8.0
p_estupinan,D,Estupinan,MIL,3.0,13.0
p_ricci_s,C,Ricci S.,COM,3.0,12.0
p_giovane,A,Giovane,NAP,3.0,3.0
p_lang,A,Lang,NAP,3.0,14.0
p_lucca,?,Lucca,NAP,3.0,12.0
p_corvi,P,Corvi,PAR,3.0,10.0
p_ordonez_c,C,Ordonez C.,PAR,3.0,10.0
p_sorensen_o*,C,Sorensen O.*,PAR,3.0,12.0
p_diallo_o,A,Diallo O.,PAR,3.0,12.0
p_elphege,?,Elphege,PAR,3.0,10.0
p_angelino*,?,Angelino*,ROM,3.0,12.0
p_walukiewicz,D,Walukiewicz,SAS,3.0,10.0
p_aboukhlal,A,Aboukhlal,TOR,3.0,5.0
p_abankwah,D,Abankwah,UDI,3.0,10.0
p_ebosse,D,Ebosse,UDI,3.0,5.0
p_zanoli,D,Zanoli,UDI,3.0,10.0
p_arizala,D,Arizala,UDI,3.0,8.0
p_halhal,D,Halhal,VEN,3.0,10.0
p_schingtienne,D,Schingtienne,VEN,3.0,10.0
p_odenthal,D,Odenthal,SAS,3.0,8.0
p_favasuli,D,Favasuli,NAP,3.0,11.0
p_lulli,?,Lulli,ROM,3.0,10.0
p_tchato,D,Tchato,FRO,3.0,8.0
p_kambwala,D,Kambwala,COM,3.0,8.0
p_gagliardini,C,Gagliardini,CAG,3.0,8.0
p_drameh,D,Drameh,GEN,3.0,10.0
p_casale,D,Casale,BOL,2.0,5.0
p_alhassane,D,Alhassane,BOL,2.0,6.0
p_el_azzouzi_o,C,El Azzouzi O.,BOL,2.0,10.0
p_idrissi_r,D,Idrissi R.,CAG,2.0,3.0
p_ranieri_l,D,Ranieri L.,FIO,2.0,10.0
p_akpoguma,D,Akpoguma,FRO,2.0,6.0
p_gelli_f,C,Gelli F.,FRO,2.0,6.0
p_hasa,C,Hasa,FRO,2.0,5.0
p_otoa,D,Otoa,GEN,2.0,5.0
p_sabelli,D,Sabelli,GEN,2.0,5.0
p_stankovic_a,C,Stankovic A.,INT,2.0,7.0
p_ekhator,A,Ekhator,JUV,2.0,7.0
p_colombo_l,C,Colombo L.,MON,2.0,4.0
p_petagna*,?,Petagna*,MON,2.0,5.0
p_marin_r,D,Marin R.,NAP,2.0,8.0
p_gilmour,C,Gilmour,NAP,2.0,10.0
p_cremaschi,C,Cremaschi,PAR,2.0,3.0
p_candè,D,Candè,SAS,2.0,7.0
p_lipani,C,Lipani,SAS,2.0,5.0
p_palma,D,Palma,UDI,2.0,11.0
p_zarraga,C,Zarraga,UDI,2.0,4.0
p_buksa*,?,Buksa*,UDI,2.0,4.0
p_sverko,D,Sverko,VEN,2.0,7.0
p_franjic,D,Franjic,VEN,2.0,7.0
p_helgason,C,Helgason,VEN,2.0,3.0
p_lauberbach,?,Lauberbach,VEN,2.0,1.0
p_forson_o,?,Forson O.,MON,2.0,1.0
p_goglichidze,D,Goglichidze,MON,2.0,5.0
p_foe_ondoa,C,Foe Ondoa,MON,2.0,2.0
p_drobnic,D,Drobnic,PAR,2.0,1.0
p_jovanovic,?,Jovanovic,UDI,2.0,5.0
p_enem,?,Enem,BOL,2.0,4.0
p_rossi_f*,P,Rossi F.*,ATA,1.0,1.0
p_sportiello,P,Sportiello,ATA,1.0,1.0
p_happonen,P,Happonen,BOL,1.0,1.0
p_pessina_mas,P,Pessina Mas.,BOL,1.0,1.0
p_de_silvestri,D,De Silvestri,BOL,1.0,4.0
p_ciocci*,P,Ciocci*,CAG,1.0,1.0
p_sherri,P,Sherri,CAG,1.0,1.0
p_raterink*,D,Raterink*,CAG,1.0,1.0
p_liteta,C,Liteta,CAG,1.0,1.0
p_albarracin*,A,Albarracin*,CAG,1.0,1.0
p_trepy,?,Trepy,CAG,1.0,1.0
p_tornqvist,P,Tornqvist,MON,1.0,10.0
p_vigorito,P,Vigorito,COM,1.0,1.0
p_goldaniga,D,Goldaniga,COM,1.0,1.0
p_cuenca_a*,D,Cuenca A.*,COM,1.0,8.0
p_van_der_brempt,D,Van Der Brempt,SAS,1.0,11.0
p_lahdo,C,Lahdo,COM,1.0,1.0
p_azon*,?,Azon*,COM,1.0,1.0
p_christensen_o,P,Christensen O.,FIO,1.0,1.0
p_lezzerini,P,Lezzerini,FIO,1.0,1.0
p_desplanches,P,Desplanches,FRO,1.0,1.0
p_lolic,P,Lolic,FRO,1.0,1.0
p_amey,D,Amey,FRO,1.0,1.0
p_gelli_j*,D,Gelli J.*,FRO,1.0,1.0
p_oyono_j*,D,Oyono J.*,FRO,1.0,2.0
p_corrado*,D,Corrado*,FRO,1.0,1.0
p_el_azzouzi_a,C,El Azzouzi A.,FRO,1.0,1.0
p_kone_b,C,Kone B.,FRO,1.0,3.0
p_sommariva,P,Sommariva,GEN,1.0,1.0
p_stolz,P,Stolz,GEN,1.0,1.0
p_vogliacco*,D,Vogliacco*,GEN,1.0,2.0
p_matturro*,D,Matturro*,GEN,1.0,2.0
p_puczka,D,Puczka,GEN,1.0,3.0
p_venturino,?,Venturino,GEN,1.0,4.0
p_di_gennaro,P,Di Gennaro,INT,1.0,1.0
