nome,squadra,pv,mv,fm
Di Gennaro,INT,1.0,6.0,5.0
Furlanetto,LAZ,2.0,6.5,5.0
Jimenez A.,MIL,1.0,5.5,5.0
Coppola F.,PIS,5.0,5.2,5.0
Mateus Lusuardi,PIS,3.0,5.17,5.0
Dembelè A.,TOR,1.0,5.0,5.0
Cham,VER,3.0,5.0,5.0
Bozhinov,PIS,8.0,5.19,5.0
De Gea,FIO,37.0,6.22,4.97
Sommer,INT,33.0,5.88,4.97
Leali,GEN,22.0,6.2,4.89
Montipò,VER,35.0,6.14,4.89
Caprile,CAG,38.0,6.29,4.87
Audero,CRE,34.0,6.12,4.82
Bijlow,GEN,16.0,6.09,4.81
Suzuki,PAR,20.0,6.05,4.78
Muric,SAS,32.0,6.06,4.75
Stanciu,GEN,4.0,5.38,4.62
Paleari,TOR,29.0,6.12,4.55
Sportiello,ATA,1.0,5.5,4.5
Silvestri,CRE,4.0,6.25,4.5
Semper,PIS,25.0,6.04,4.36
Cornet,GEN,5.0,4.9,4.3
Ravaglia F.,BOL,17.0,6.12,4.29
Scuffet,PIS,7.0,6.21,4.07
Israel,TOR,9.0,5.83,3.78
Sommariva,GEN,2.0,5.75,3.75
Perilli,VER,3.0,6.0,3.67
Nicolas,PIS,6.0,5.92,3.58
Sava,UDI,7.0,5.5,3.43
Rossi F.,ATA,0.0,0.0,0.0
Tourè E.,ATA,0.0,0.0,0.0
Erlic,BOL,0.0,0.0,0.0
Ilic M.,BOL,0.0,0.0,0.0
El Azzouzi,BOL,0.0,0.0,0.0
Ndoye,BOL,0.0,0.0,0.0
Karlsson,BOL,0.0,0.0,0.0
Ciocci,CAG,0.0,0.0,0.0
Radunovic,CAG,0.0,0.0,0.0
Wieteska,CAG,0.0,0.0,0.0
Veroli,CAG,0.0,0.0,0.0
Vigorito,COM,0.0,0.0,0.0
Goldaniga,COM,0.0,0.0,0.0
Jack,COM,0.0,0.0,0.0
Braunoder,COM,0.0,0.0,0.0
Engelhardt,COM,0.0,0.0,0.0
Alli,COM,0.0,0.0,0.0
Azon,COM,0.0,0.0,0.0
Gabrielloni,COM,0.0,0.0,0.0
Nava,CRE,0.0,0.0,0.0
Ravanelli,CRE,0.0,0.0,0.0
Azzi,CRE,0.0,0.0,0.0
Quagliata,CRE,0.0,0.0,0.0
Sernicola,CRE,0.0,0.0,0.0
Castagnetti,CRE,0.0,0.0,0.0
Pickel,CRE,0.0,0.0,0.0
Valoti,CRE,0.0,0.0,0.0
Zanimacchia,CRE,0.0,0.0,0.0
Nasti,CRE,0.0,0.0,0.0
Martinelli T.,FIO,0.0,0.0,0.0
